# m n lo up gens time_s logN
# m n lo up gens time_s logN
360 199 0 0 0 0.015000000000000000000000000000000000000 -0.039517839989270642754619415938927679994
361 154 1 1 0 0.30600000000000000000000000000000000000 -1.0548455178023869409336157095946839094
362 63 0 0 0 0.015000000000000000000000000000000000000 4.6441676197616415457753084001100183887
362 65 1 1 1 0.024000000000000000000000000000000000000 4.5196955654992151633028711080715084906
362 133 1 1 0 0.24000000000000000000000000000000000000 0.66024913625033025312565178428548969364
362 301 0 0 0 0.018000000000000000000000000000000000000 -1.7521692389710276575220350012860145604
362 341 1 1 0 0.33400000000000000000000000000000000000 -3.6922647149717583905661874967978014358
363 28 1 1 1 0.045000000000000000000000000000000000000 7.6559592917297747286072190602132319693
363 92 0 0 0 0.017000000000000000000000000000000000000 3.0324943996698369383327329259785017447
364 23 1 1 1 0.018000000000000000000000000000000000000 8.3628721811752377077265132368670656632
364 43 1 1 1 0.020000000000000000000000000000000000000 6.1167608797412346533475832211841824258
364 73 2 2 2 0.033000000000000000000000000000000000000 4.0687615793145791983184527527380838709
364 163 1 1 0 0.34100000000000000000000000000000000000 -0.37748620120901689363093335327214742537
364 263 1 1 1 0.019000000000000000000000000000000000000 -0.81850411091061539305678140056429134264
364 307 0 0 0 0.074000000000000000000000000000000000000 -1.8883866560982470645942238228884789637
365 86 1 1 1 0.088000000000000000000000000000000000000 3.3711537027818671480862168505951572745
365 104 0 0 0 0.067000000000000000000000000000000000000 2.4419966405666977135729814130468247636
365 118 1 1 0 0.27700000000000000000000000000000000000 1.6956868572385299891972175757373808338
366 47 1 1 1 0.024000000000000000000000000000000000000 5.8078267816574546460092435652500728634
366 107 3 3 3 0.030000000000000000000000000000000000000 2.3017766352477673691869362557534081466
366 161 1 1 1 0.028000000000000000000000000000000000000 -0.54057771180056358314458556482845507021
366 223 0 0 0 0.016000000000000000000000000000000000000 -0.21422856390101498681022583925408659256
367 130 0 0 0 0.013000000000000000000000000000000000000 1.0083278293252249263051477088783189654
367 228 1 1 0 0.29200000000000000000000000000000000000 -0.26349903418029986451919316369810548020
368 39 2 2 2 0.026000000000000000000000000000000000000 6.5140435383318799589844803019201819767
368 45 0 2 0 0.58900000000000000000000000000000000000 5.9893552308851615060571030497348597051
368 95 2 2 1 0.58700000000000000000000000000000000000 2.9439818415332317609892703680078300462
368 143 1 1 1 0.021000000000000000000000000000000000000 -0.069493977944442446630187407556388308859
368 215 0 0 0 0.080000000000000000000000000000000000000 -0.12381981910490604720593418699954321840
368 221 2 2 2 0.025000000000000000000000000000000000000 -0.18061711648495102248494391538772416857
368 259 1 1 1 0.022000000000000000000000000000000000000 -0.69731767477539268168732693183552456308
369 68 1 1 0 0.31900000000000000000000000000000000000 4.4153468982800111579495062880491341605
369 116 0 0 0 0.019000000000000000000000000000000000000 1.8755645402831195583128623516267818238
369 148 2 2 2 0.023000000000000000000000000000000000000 -0.76875829515812977127189553406578699010
369 184 1 1 0 0.41800000000000000000000000000000000000 -0.016025726152900454676297518537342590223
370 113 0 0 0 0.014000000000000000000000000000000000000 2.0513918665573195635404235870191990640
370 139 0 0 0 0.014000000000000000000000000000000000000 0.40980034673385377189605014628948303299
