# m  n  q  status  box_size  n_hits
97 24 8833/4656 CLOSED_RANK2 8 0
97 28 8625/5432 CLOSED_RANK2 8 0
97 30 8509/5820 CLOSED_RANK2 8 0
97 38 7965/7372 CLOSED_RANK2 8 0
97 40 7809/7760 CLOSED_RANK2 8 0
97 54 6493/10476 CLOSED_RANK2 8 0
97 64 5313/12416 CLOSED_RANK2 8 0
97 68 4785/13192 CLOSED_RANK2 8 0
97 70 4509/13580 CLOSED_RANK2 8 0
97 92 945/17848 CLOSED_RANK2 8 0
97 96 193/18624 CLOSED_RANK2 8 0
98 15 9379/2940 CLOSED_RANK2 8 0
98 33 8515/6468 CLOSED_RANK2 8 0
98 43 7755/8428 CLOSED_RANK2 8 0
98 73 4275/14308 CLOSED_RANK2 8 0
98 97 195/19012 CLOSED_RANK2 8 0
99 16 9545/3168 CLOSED_RANK2 8 0
99 32 8777/6336 CLOSED_RANK2 8 0
99 56 6665/11088 CLOSED_RANK2 8 0
99 64 5705/12672 CLOSED_RANK2 8 0
99 70 4901/13860 CLOSED_RANK2 8 0
99 92 1337/18216 CLOSED_RANK2 8 0
99 94 965/18612 CLOSED_RANK2 8 0
100 21 9559/4200 CLOSED_RANK2 8 0
100 23 9471/4600 CLOSED_RANK2 8 0
100 49 7599/9800 CLOSED_RANK2 8 0
100 89 2079/17800 CLOSED_RANK2 8 0
100 93 1351/18600 CLOSED_RANK2 8 0
