# m  n  q  status  scan_window  n_hits
61 18 3397/2196 CLOSED_RANK1 12 0
61 20 3321/2440 CLOSED_RANK1 12 0
61 34 2565/4148 CLOSED_RANK1 12 0
61 36 2425/4392 CLOSED_RANK1 12 0
61 40 2121/4880 HARD_NO_GEN_R1_HIGHCOND 0 0
61 48 1417/5856 CLOSED_RANK1 12 0
61 50 1221/6100 CLOSED_RANK1 12 0
61 52 1017/6344 CLOSED_RANK1 12 0
61 54 805/6588 CLOSED_RANK1 12 0
61 58 357/7076 CLOSED_RANK1 12 0
61 60 121/7320 CLOSED_RANK1 12 0
62 1 3843/124 HARD_NO_GEN_R1_HIGHCOND 0 0
62 3 3835/372 CLOSED_RANK1 12 0
62 7 3795/868 CLOSED_RANK1 12 0
62 9 3763/1116 CLOSED_RANK1 12 0
62 11 3723/1364 CLOSED_RANK1 12 0
62 13 3675/1612 CLOSED_RANK1 12 0
62 15 3619/1860 HARD_NO_GEN_R1_HIGHCOND 0 0
62 17 3555/2108 CLOSED_RANK1 12 0
62 19 3483/2356 CLOSED_RANK1 12 0
62 21 3403/2604 CLOSED_RANK1 12 0
62 35 2619/4340 CLOSED_RANK1 12 0
62 45 1819/5580 CLOSED_RANK1 12 0
62 47 1635/5828 CLOSED_RANK1 12 0
62 49 1443/6076 CLOSED_RANK1 12 0
62 51 1243/6324 CLOSED_RANK1 12 0
62 53 1035/6572 CLOSED_RANK1 12 0
62 55 819/6820 CLOSED_RANK1 12 0
62 57 595/7068 CLOSED_RANK1 12 0
62 61 123/7564 CLOSED_RANK1 12 0
63 2 3965/252 CLOSED_RANK1 12 0
63 8 3905/1008 CLOSED_RANK1 12 0
63 10 3869/1260 CLOSED_RANK1 12 0
63 16 3713/2016 CLOSED_RANK1 12 0
63 20 3569/2520 CLOSED_RANK1 12 0
63 40 2369/5040 CLOSED_RANK1 12 0
63 46 1853/5796 CLOSED_RANK1 12 0
64 1 4095/128 CLOSED_RANK1 12 0
64 7 4047/896 CLOSED_RANK1 12 0
64 9 4015/1152 CLOSED_RANK1 12 0
64 17 3807/2176 CLOSED_RANK1 12 0
64 19 3735/2432 CLOSED_RANK1 12 0
64 21 3655/2688 CLOSED_RANK1 12 0
64 25 3471/3200 CLOSED_RANK1 12 0
64 27 3367/3456 CLOSED_RANK1 12 0
64 37 2727/4736 CLOSED_RANK1 12 0
64 39 2575/4992 CLOSED_RANK1 12 0
64 41 2415/5248 CLOSED_RANK1 12 0
64 49 1695/6272 CLOSED_RANK1 12 0
64 55 1071/7040 CLOSED_RANK1 12 0
65 2 4221/260 CLOSED_RANK1 12 0
65 4 4209/520 CLOSED_RANK1 12 0
65 6 4189/780 CLOSED_RANK1 12 0
65 16 3969/2080 CLOSED_RANK1 12 0
65 22 3741/2860 CLOSED_RANK1 12 0
65 24 3649/3120 CLOSED_RANK1 12 0
65 34 3069/4420 CLOSED_RANK1 12 0
65 38 2781/4940 CLOSED_RANK1 12 0
65 48 1921/6240 CLOSED_RANK1 12 0
65 56 1089/7280 CLOSED_RANK1 12 0
65 58 861/7540 CLOSED_RANK1 12 0
65 62 381/8060 CLOSED_RANK1 12 0
65 64 129/8320 CLOSED_RANK1 12 0
66 7 4307/924 CLOSED_RANK1 12 0
66 13 4187/1716 CLOSED_RANK1 12 0
66 29 3515/3828 CLOSED_RANK1 12 0
66 31 3395/4092 CLOSED_RANK1 12 0
66 35 3131/4620 CLOSED_RANK1 12 0
66 37 2987/4884 CLOSED_RANK1 12 0
66 41 2675/5412 CLOSED_RANK1 12 0
66 43 2507/5676 CLOSED_RANK1 12 0
66 61 635/8052 CLOSED_RANK1 12 0
67 4 4473/536 HARD_NO_GEN_R1_HIGHCOND 0 0
67 6 4453/804 CLOSED_RANK1 12 0
67 12 4345/1608 CLOSED_RANK1 12 0
67 16 4233/2144 HARD_NO_GEN_R1_HIGHCOND 0 0
67 26 3813/3484 CLOSED_RANK1 12 0
67 28 3705/3752 HARD_NO_GEN_R1_HIGHCOND 0 0
67 40 2889/5360 CLOSED_RANK1 12 0
67 42 2725/5628 HARD_NO_GEN_R1_HIGHCOND 0 0
67 56 1353/7504 CLOSED_RANK1 12 0
67 58 1125/7772 CLOSED_RANK1 12 0
67 62 645/8308 CLOSED_RANK1 12 0
67 66 133/8844 CLOSED_RANK1 12 0
68 1 4623/136 CLOSED_RANK1 12 0
68 5 4599/680 CLOSED_RANK1 12 0
68 7 4575/952 CLOSED_RANK1 12 0
68 11 4503/1496 CLOSED_RANK1 12 0
68 13 4455/1768 CLOSED_RANK1 12 0
68 15 4399/2040 CLOSED_RANK1 12 0
68 19 4263/2584 CLOSED_RANK1 12 0
68 21 4183/2856 CLOSED_RANK1 12 0
68 23 4095/3128 CLOSED_RANK1 12 0
68 25 3999/3400 CLOSED_RANK1 12 0
68 27 3895/3672 CLOSED_RANK1 12 0
68 29 3783/3944 HARD_NO_GEN_R1_HIGHCOND 0 0
68 31 3663/4216 CLOSED_RANK1 12 0
68 37 3255/5032 HARD_NO_GEN_R1_HIGHCOND 0 0
68 43 2775/5848 CLOSED_RANK1 12 0
68 45 2599/6120 CLOSED_RANK1 12 0
68 53 1815/7208 CLOSED_RANK1 12 0
68 57 1375/7752 CLOSED_RANK1 12 0
68 59 1143/8024 CLOSED_RANK1 12 0
68 67 135/9112 CLOSED_RANK1 12 0
69 8 4697/1104 CLOSED_RANK1 12 0
69 16 4505/2208 CLOSED_RANK1 12 0
69 20 4361/2760 CLOSED_RANK1 12 0
69 28 3977/3864 CLOSED_RANK1 12 0
69 32 3737/4416 CLOSED_RANK1 12 0
69 38 3317/5244 CLOSED_RANK1 12 0
69 40 3161/5520 CLOSED_RANK1 12 0
69 44 2825/6072 CLOSED_RANK1 12 0
69 52 2057/7176 CLOSED_RANK1 12 0
