# m  n  q  status  tors_order  n_hits
57 40 1649/4560 CLOSED_RANK0 8 0
58 1 3363/116 CLOSED_RANK0 8 0
58 15 3139/1740 CLOSED_RANK0 8 0
58 17 3075/1972 CLOSED_RANK0 8 0
58 23 2835/2668 CLOSED_RANK0 8 0
58 25 2739/2900 CLOSED_RANK0 8 0
58 39 1843/4524 CLOSED_RANK0 8 0
58 45 1339/5220 CLOSED_RANK0 8 0
58 47 1155/5452 CLOSED_RANK0 8 0
58 55 339/6380 CLOSED_RANK0 8 0
58 57 115/6612 CLOSED_RANK0 8 0
59 6 3445/708 CLOSED_RANK0 8 0
59 18 3157/2124 CLOSED_RANK0 8 0
59 20 3081/2360 CLOSED_RANK0 8 0
59 30 2581/3540 CLOSED_RANK0 8 0
59 32 2457/3776 CLOSED_RANK0 8 0
59 34 2325/4012 CLOSED_RANK0 8 0
59 42 1717/4956 CLOSED_RANK0 8 0
59 48 1177/5664 CLOSED_RANK0 8 0
59 52 777/6136 CLOSED_RANK0 8 0
59 58 117/6844 CLOSED_RANK0 8 0
60 19 3239/2280 CLOSED_RANK0 8 0
60 23 3071/2760 CLOSED_RANK0 8 0
60 29 2759/3480 CLOSED_RANK0 8 0
60 31 2639/3720 CLOSED_RANK0 8 0
60 37 2231/4440 CLOSED_RANK0 8 0
60 47 1391/5640 CLOSED_RANK0 8 0
60 53 791/6360 CLOSED_RANK0 8 0
61 4 3705/488 CLOSED_RANK0 8 0
61 8 3657/976 CLOSED_RANK0 8 0
61 16 3465/1952 CLOSED_RANK0 8 0
61 24 3145/2928 CLOSED_RANK0 8 0
61 26 3045/3172 CLOSED_RANK0 8 0
61 28 2937/3416 CLOSED_RANK0 8 0
61 44 1785/5368 CLOSED_RANK0 8 0
61 46 1605/5612 CLOSED_RANK0 8 0
62 5 3819/620 CLOSED_RANK0 8 0
62 23 3315/2852 CLOSED_RANK0 8 0
62 25 3219/3100 CLOSED_RANK0 8 0
62 27 3115/3348 CLOSED_RANK0 8 0
62 41 2163/5084 CLOSED_RANK0 8 0
63 26 3293/3276 CLOSED_RANK0 8 0
63 32 2945/4032 CLOSED_RANK0 8 0
