# m  n  q  N(E)  status  B  lambda_min  H(E)  squares  #gens_found
47 8 2145/752 813682099230 CLOSED 48 3.9226665824180053100948095602285518139 8979.1994236078216110770920614629337107 0 2
47 12 2065/1128 1742238769530 CLOSED 41 5.6222220929031523682058913327694301173 9024.9276094447515965026997318415587693 0 2
47 18 1885/1692 26212514055 CLOSED 42 4.9227816319428354301504133249414514618 8532.2967568425758504806257825340241126 0 2
47 38 765/3572 2772193073685 CLOSED 39 6.4240567606054150829646214509034711717 9509.7707382203291245082046072041232216 0 2
48 17 2015/1632 287084509530 CLOSED 47 4.0152221918023543811432637703165891346 8825.0038262700647503500014857372086346 0 2
48 25 1679/2400 148136104830 CLOSED 50 3.6125664194863631291773167653064549744 8898.7189446030499625406862550957511225 0 2
48 41 623/3936 2314803774486 CLOSED 38 6.7309253586271138566825905464998599797 9569.3708102610305557700495233935162251 0 2
49 16 2145/1568 64336302030 CLOSED 63 2.2116258192938343964078089136345375815 8725.4548532559494371995976690538080575 0 2
49 34 1245/3332 1415206042845 CLOSED 35 7.7062355935472134415420150794428767154 9386.8920276035046684191408639674026522 0 2
49 38 957/3724 1648585132887 CLOSED 46 4.6444770443154878003317958482421690113 9491.1367647937366020937218564124531139 0 2
50 7 2451/700 473310244785 CLOSED 51 3.5693944821808934042213529701977450906 9031.7027987285553310740228608792032731 0 2
50 41 819/4100 903232510635 CLOSED 48 4.1442013816262416975550735441973848401 9507.9183865619002728135720194062970372 0 2
51 20 2201/2040 766450950510 CLOSED 36 7.0800883545811642274767939939103682007 8993.8373193915580170172589745625505019 0 2
51 28 1817/2856 6298896432486 CLOSED 29 11.578204791439041202237271515491711710 9412.8814152211209174609778874719253121 0 2
52 3 2695/312 215185400430 CLOSED 55 3.0931067118104123197902040468667909052 9028.7993687809427382483992737791118053 0 2
52 25 2079/2600 73205902770 CLOSED 43 4.9841202501750452354163045439690293814 8892.2675685673546474010499162192400060 0 2
52 33 1615/3432 1815306683190 CLOSED 62 2.4691130583593240137964139278349027029 9435.4463225688662654739864159306571989 0 2
52 41 1023/4264 18686208046506 CLOSED 47 4.5292924415716269022405201199581486104 9842.2510556819857669730143615316660638 0 2
52 47 495/4888 4768049255970 CLOSED 57 3.0231352335372468077790461503065168924 9814.9266382980308094653106559982508309 0 2
52 51 103/5304 3840820156446 CLOSED 34 8.7823662960240620480150095887539719020 9858.6439297056108396029271278519439516 0 2
53 34 1653/3604 15275410534671 CLOSED 30 10.972507300971715782206168736820760360 9687.5662446697749619203286994527388189 0 2
53 46 693/4876 6559651516803 CLOSED 44 5.2048796706197253065163716006075753403 9844.8602519844229246791389328795638807 0 2
54 43 1067/4644 401686457403 CLOSED 39 6.2908585853382428615726687222686836941 9526.5588407074249764523299700715937452 0 2
55 8 2961/880 867813146970 CLOSED 58 2.8013401242840019904973808773444668538 9243.5500884778167232257165396194718738 0 2
55 12 2881/1320 6234660115530 CLOSED 34 8.4709102836920753899233338436728632021 9418.8287061906096392629495622289669196 0 2
55 18 2701/1980 1504119820665 CLOSED 50 3.7801245436482927461188484782471987473 9225.0247836619140421799144586867204308 0 2
55 42 1261/4620 28771218420945 CLOSED 47 4.7008304806289023348727344021461506656 9949.5596515599338464082621950225298391 0 2
55 48 721/5280 6509421942870 CLOSED 55 3.3360464646041970957170028864693134968 9907.7722786550886509084932397843675598 0 2
56 11 3015/1232 1171980502770 CLOSED 55 3.1186420778731396721265625993402918953 9288.0557044373503390217387298541455175 0 2
56 17 2847/1904 3035716054098 CLOSED 41 5.8051599491911708611857166799270548286 9337.3637142994191523015649121208511230 0 2
56 45 1111/5040 5638467863490 CLOSED 43 5.5588332647159959656412030268012687094 9856.1924377647241112377986474768316682 0 2
