# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 om_m om_n big_m big_n tag
47 2 1 49 45 1 1 1 1 1 1 94 2213 2205 0 1 0 2 2 3 2 1 1 1 1 R1
47 6 1 53 41 1 2 1 5 5 5 282 2245 2173 1 1 0 2 0 3 2 1 2 1 2 R1
47 10 1 57 37 1 0 1 3 9 9 470 2309 2109 0 1 0 2 1 3 2 1 2 1 2 R1
47 14 1 61 33 1 1 1 1 1 13 658 2405 2013 1 1 0 2 2 3 2 1 2 1 2 R1
47 20 1 67 27 1 1 3 1 7 19 940 2609 1809 1 1 0 2 2 3 0 1 2 1 3 R1
47 22 1 69 25 1 0 1 3 9 21 1034 2693 1725 0 1 0 2 1 3 2 1 2 1 2 R1
47 28 1 75 19 1 0 3 3 3 3 1316 2993 1425 0 1 0 2 1 3 0 1 2 1 3 R1
47 34 1 81 13 1 0 1 3 9 9 1598 3365 1053 0 1 0 2 1 3 2 1 2 1 2 R1
47 42 1 89 5 1 2 1 5 5 17 1974 3973 445 1 1 0 2 0 3 2 1 3 1 3 R1
47 46 1 93 1 1 0 1 3 9 21 2162 4325 93 0 1 0 2 1 3 2 1 2 1 2 R1
48 1 1 49 47 1 1 1 1 1 1 48 2305 2303 0 0 1 0 1 0 1 2 0 5 0 R1
48 7 1 55 41 1 1 3 1 7 7 336 2353 2255 0 0 1 0 1 0 3 2 1 5 1 R1
48 11 1 59 37 1 2 3 5 11 11 528 2425 2183 1 0 1 0 2 0 3 2 1 5 1 R1
48 19 1 67 29 1 1 3 1 7 19 912 2665 1943 1 0 1 0 1 0 3 2 1 5 1 R1
48 29 1 77 19 1 2 1 5 5 5 1392 3145 1463 0 0 1 0 2 0 1 2 1 5 1 R1
48 31 1 79 17 1 1 3 1 7 7 1488 3265 1343 1 0 1 0 1 0 3 2 1 5 1 R1
48 35 1 83 13 1 2 3 5 11 11 1680 3529 1079 1 0 1 0 2 0 3 2 2 5 2 R1
48 37 1 85 11 1 1 1 1 1 13 1776 3673 935 0 0 1 0 1 0 1 2 1 5 1 R1
48 47 1 95 1 1 2 3 5 11 23 2256 4513 95 0 0 1 0 2 0 3 2 1 5 1 R1
49 10 1 59 39 1 2 3 5 11 11 490 2501 2301 1 1 0 1 1 1 2 1 2 2 2 R1
49 12 1 61 37 1 1 1 1 1 13 588 2545 2257 1 1 0 1 0 1 0 1 2 2 3 R1
49 26 1 75 23 1 0 3 3 3 3 1274 3077 1725 0 1 0 1 2 1 2 1 2 2 2 R1
49 30 1 79 19 1 1 3 1 7 7 1470 3301 1501 1 1 0 1 0 1 2 1 3 2 3 R1
49 36 1 85 13 1 1 1 1 1 13 1764 3697 1105 0 1 0 1 0 1 0 1 2 2 4 R1
49 40 1 89 9 1 2 1 5 5 17 1960 4001 801 1 1 0 1 1 1 0 1 2 2 4 R1
49 44 1 93 5 1 0 1 3 9 21 2156 4337 465 0 1 0 1 2 1 0 1 2 2 3 R1
49 48 1 97 1 1 1 1 1 1 1 2352 4705 97 1 1 0 1 0 1 0 1 2 2 5 R1
50 9 1 59 41 1 2 3 5 11 11 450 2581 2419 1 0 1 2 0 2 1 2 1 3 2 R1
50 17 1 67 33 1 1 3 1 7 19 850 2789 2211 1 0 1 2 2 2 1 2 1 3 1 R1
50 19 1 69 31 1 0 1 3 9 21 950 2861 2139 0 0 1 2 1 2 3 2 1 3 1 R1
50 21 1 71 29 1 2 3 5 11 23 1050 2941 2059 1 0 1 2 0 2 1 2 2 3 2 R1
50 23 1 73 27 1 1 1 1 1 1 1150 3029 1971 1 0 1 2 2 2 3 2 1 3 1 R1
50 29 1 79 21 1 1 3 1 7 7 1450 3341 1659 1 0 1 2 2 2 1 2 1 3 1 R1
50 31 1 81 19 1 0 1 3 9 9 1550 3461 1539 0 0 1 2 1 2 3 2 1 3 1 R1
