# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 om_m om_n big_m big_n tag
87 34 1 121 53 1 1 1 1 1 1 2958 8725 6413 0 1 0 0 1 3 2 2 2 2 2 R1
87 40 1 127 47 1 1 3 1 7 7 3480 9169 5969 1 1 0 0 1 3 0 2 2 2 4 R1
87 50 1 137 37 1 2 1 5 5 17 4350 10069 5069 1 1 0 0 2 3 2 2 2 2 3 R1
87 62 1 149 25 1 2 1 5 5 5 5394 11413 3725 1 1 0 0 2 3 2 2 2 2 2 R1
87 64 1 151 23 1 1 3 1 7 7 5568 11665 3473 1 1 0 0 1 3 0 2 1 2 6 R1
87 70 1 157 17 1 1 1 1 1 13 6090 12469 2669 1 1 0 0 1 3 2 2 3 2 3 R1
87 74 1 161 13 1 2 1 5 5 17 6438 13045 2093 0 1 0 0 2 3 2 2 2 2 2 R1
87 86 1 173 1 1 2 1 5 5 5 7482 14965 173 1 1 0 0 2 3 2 2 2 2 2 R1
88 9 1 97 79 1 1 1 1 1 1 792 7825 7663 1 0 1 1 0 0 1 2 1 4 2 R1
88 13 1 101 75 1 2 1 5 5 5 1144 7913 7575 1 0 1 1 1 0 1 2 1 4 1 R1
88 15 1 103 73 1 1 3 1 7 7 1320 7969 7519 1 0 1 1 0 0 3 2 2 4 2 R1
88 17 1 105 71 1 0 1 3 9 9 1496 8033 7455 0 0 1 1 2 0 1 2 1 4 1 R1
88 23 1 111 65 1 0 3 3 3 15 2024 8273 7215 0 0 1 1 2 0 3 2 1 4 1 R1
88 25 1 113 63 1 2 1 5 5 17 2200 8369 7119 1 0 1 1 1 0 1 2 1 4 2 R1
88 27 1 115 61 1 1 3 1 7 19 2376 8473 7015 0 0 1 1 0 0 3 2 1 4 3 R1
88 39 1 127 49 1 1 3 1 7 7 3432 9265 6223 1 0 1 1 0 0 3 2 2 4 2 R1
88 43 1 131 45 1 2 3 5 11 11 3784 9593 5895 1 0 1 1 1 0 3 2 1 4 1 R1
88 45 1 133 43 1 1 1 1 1 13 3960 9769 5719 0 0 1 1 0 0 1 2 2 4 3 R1
88 49 1 137 39 1 2 1 5 5 17 4312 10145 5343 1 0 1 1 1 0 1 2 1 4 2 R1
88 51 1 139 37 1 1 3 1 7 19 4488 10345 5143 1 0 1 1 0 0 3 2 2 4 2 R1
88 53 1 141 35 1 0 1 3 9 21 4664 10553 4935 0 0 1 1 2 0 1 2 1 4 1 R1
88 59 1 147 29 1 0 3 3 3 3 5192 11225 4263 0 0 1 1 2 0 3 2 1 4 1 R1
88 69 1 157 19 1 1 1 1 1 13 6072 12505 2983 1 0 1 1 0 0 1 2 2 4 2 R1
88 71 1 159 17 1 0 3 3 3 15 6248 12785 2703 0 0 1 1 2 0 3 2 1 4 1 R1
88 73 1 161 15 1 2 1 5 5 17 6424 13073 2415 0 0 1 1 1 0 1 2 1 4 1 R1
88 75 1 163 13 1 1 3 1 7 19 6600 13369 2119 1 0 1 1 0 0 3 2 2 4 3 R1
88 79 1 167 9 1 2 3 5 11 23 6952 13985 1503 1 0 1 1 1 0 3 2 1 4 1 R1
88 83 1 171 5 1 0 3 3 3 3 7304 14633 855 0 0 1 1 2 0 3 2 1 4 1 R1
88 87 1 175 1 1 1 3 1 7 7 7656 15313 175 0 0 1 1 0 0 3 2 2 4 2 R1
89 10 1 99 79 1 0 3 3 3 3 890 8021 7821 0 1 0 2 1 1 2 1 2 1 2 R1
89 14 1 103 75 1 1 3 1 7 7 1246 8117 7725 1 1 0 2 2 1 2 1 2 1 2 R1
89 16 1 105 73 1 0 1 3 9 9 1424 8177 7665 0 1 0 2 1 1 0 1 1 1 4 R1
89 18 1 107 71 1 2 3 5 11 11 1602 8245 7597 1 1 0 2 0 1 2 1 2 1 3 R1
89 20 1 109 69 1 1 1 1 1 13 1780 8321 7521 1 1 0 2 2 1 0 1 2 1 3 R1
89 22 1 111 67 1 0 3 3 3 15 1958 8405 7437 0 1 0 2 1 1 2 1 2 1 2 R1
89 28 1 117 61 1 0 1 3 9 21 2492 8705 7137 0 1 0 2 1 1 0 1 2 1 3 R1
89 34 1 123 55 1 0 3 3 3 3 3026 9077 6765 0 1 0 2 1 1 2 1 2 1 2 R1
89 36 1 125 53 1 2 1 5 5 5 3204 9217 6625 0 1 0 2 0 1 0 1 2 1 4 R1
89 40 1 129 49 1 0 1 3 9 9 3560 9521 6321 0 1 0 2 1 1 0 1 2 1 4 R1
89 42 1 131 47 1 2 3 5 11 11 3738 9685 6157 1 1 0 2 0 1 2 1 3 1 3 R1
89 48 1 137 41 1 2 1 5 5 17 4272 10225 5617 1 1 0 2 0 1 0 1 2 1 5 R1
89 50 1 139 39 1 1 3 1 7 19 4450 10421 5421 1 1 0 2 2 1 2 1 2 1 3 R1
89 58 1 147 31 1 0 3 3 3 3 5162 11285 4557 0 1 0 2 1 1 2 1 2 1 2 R1
89 60 1 149 29 1 2 1 5 5 5 5340 11521 4321 1 1 0 2 0 1 0 1 3 1 4 R1
89 64 1 153 25 1 0 1 3 9 9 5696 12017 3825 0 1 0 2 1 1 0 1 1 1 6 R1
89 70 1 159 19 1 0 3 3 3 15 6230 12821 3021 0 1 0 2 1 1 2 1 3 1 3 R1
89 78 1 167 11 1 2 3 5 11 23 6942 14005 1837 1 1 0 2 0 1 2 1 3 1 3 R1
90 1 1 91 89 1 1 3 1 7 19 90 8101 8099 0 0 1 0 1 2 1 3 0 4 0 R1
90 13 1 103 77 1 1 3 1 7 7 1170 8269 7931 1 0 1 0 1 2 1 3 1 4 1 R1
90 17 1 107 73 1 2 3 5 11 11 1530 8389 7811 1 0 1 0 2 2 1 3 1 4 1 R1
90 19 1 109 71 1 1 1 1 1 13 1710 8461 7739 1 0 1 0 1 2 3 3 1 4 1 R1
90 23 1 113 67 1 2 1 5 5 17 2070 8629 7571 1 0 1 0 2 2 3 3 1 4 1 R1
90 29 1 119 61 1 2 3 5 11 23 2610 8941 7259 0 0 1 0 2 2 1 3 1 4 1 R1
90 37 1 127 53 1 1 3 1 7 7 3330 9469 6731 1 0 1 0 1 2 1 3 1 4 1 R1
90 43 1 133 47 1 1 1 1 1 13 3870 9949 6251 0 0 1 0 1 2 3 3 1 4 1 R1
90 47 1 137 43 1 2 1 5 5 17 4230 10309 5891 1 0 1 0 2 2 3 3 1 4 1 R1
90 49 1 139 41 1 1 3 1 7 19 4410 10501 5699 1 0 1 0 1 2 1 3 1 4 2 R1
90 53 1 143 37 1 2 3 5 11 23 4770 10909 5291 0 0 1 0 2 2 1 3 1 4 1 R1
90 61 1 151 29 1 1 3 1 7 7 5490 11821 4379 1 0 1 0 1 2 1 3 1 4 1 R1
90 67 1 157 23 1 1 1 1 1 13 6030 12589 3611 1 0 1 0 1 2 3 3 1 4 1 R1
90 71 1 161 19 1 2 1 5 5 17 6390 13141 3059 0 0 1 0 2 2 3 3 1 4 1 R1
90 79 1 169 11 1 1 1 1 1 1 7110 14341 1859 0 0 1 0 1 2 3 3 1 4 1 R1
90 89 1 179 1 1 2 3 5 11 11 8010 16021 179 1 0 1 0 2 2 1 3 1 4 1 R1
91 2 1 93 89 1 0 1 3 9 21 182 8285 8277 0 1 0 1 2 3 2 2 1 2 1 R1
91 10 1 101 81 1 2 1 5 5 5 910 8381 8181 1 1 0 1 1 3 2 2 2 2 2 R1
91 12 1 103 79 1 1 3 1 7 7 1092 8425 8137 1 1 0 1 0 3 0 2 2 2 3 R1
91 16 1 107 75 1 2 3 5 11 11 1456 8537 8025 1 1 0 1 1 3 0 2 1 2 4 R1
91 20 1 111 71 1 0 3 3 3 15 1820 8681 7881 0 1 0 1 2 3 0 2 2 2 3 R1
91 24 1 115 67 1 1 3 1 7 19 2184 8857 7705 0 1 0 1 0 3 0 2 2 2 4 R1
91 34 1 125 57 1 2 1 5 5 5 3094 9437 7125 0 1 0 1 1 3 2 2 2 2 2 R1
91 38 1 129 53 1 0 1 3 9 9 3458 9725 6837 0 1 0 1 2 3 2 2 2 2 2 R1
91 48 1 139 43 1 1 3 1 7 19 4368 10585 5977 1 1 0 1 0 3 0 2 2 2 5 R1
91 50 1 141 41 1 0 1 3 9 21 4550 10781 5781 0 1 0 1 2 3 2 2 2 2 3 R1
91 68 1 159 23 1 0 3 3 3 15 6188 12905 3657 0 1 0 1 2 3 0 2 2 2 3 R1
91 72 1 163 19 1 1 3 1 7 19 6552 13465 3097 1 1 0 1 0 3 0 2 2 2 5 R1
91 74 1 165 17 1 0 1 3 9 21 6734 13757 2805 0 1 0 1 2 3 2 2 2 2 2 R1
91 80 1 171 11 1 0 3 3 3 3 7280 14681 1881 0 1 0 1 2 3 0 2 2 2 5 R1
91 82 1 173 9 1 2 1 5 5 5 7462 15005 1557 1 1 0 1 1 3 2 2 2 2 2 R1
91 86 1 177 5 1 0 1 3 9 9 7826 15677 885 0 1 0 1 2 3 2 2 2 2 2 R1
91 88 1 179 3 1 2 3 5 11 11 8008 16025 537 1 1 0 1 1 3 0 2 2 2 4 R1
92 7 1 99 85 1 0 3 3 3 3 644 8513 8415 0 0 1 2 1 0 3 2 1 3 1 R1
92 15 1 107 77 1 2 3 5 11 11 1380 8689 8239 1 0 1 2 0 0 3 2 2 3 2 R1
92 19 1 111 73 1 0 3 3 3 15 1748 8825 8103 0 0 1 2 1 0 3 2 1 3 1 R1
92 21 1 113 71 1 2 1 5 5 17 1932 8905 8023 1 0 1 2 0 0 1 2 2 3 2 R1
92 25 1 117 67 1 0 1 3 9 21 2300 9089 7839 0 0 1 2 1 0 1 2 1 3 2 R1
92 29 1 121 63 1 1 1 1 1 1 2668 9305 7623 0 0 1 2 2 0 1 2 1 3 1 R1
92 31 1 123 61 1 0 3 3 3 3 2852 9425 7503 0 0 1 2 1 0 3 2 1 3 1 R1
92 33 1 125 59 1 2 1 5 5 5 3036 9553 7375 0 0 1 2 0 0 1 2 2 3 2 R1
92 35 1 127 57 1 1 3 1 7 7 3220 9689 7239 1 0 1 2 2 0 3 2 2 3 2 R1
92 37 1 129 55 1 0 1 3 9 9 3404 9833 7095 0 0 1 2 1 0 1 2 1 3 1 R1
92 39 1 131 53 1 2 3 5 11 11 3588 9985 6943 1 0 1 2 0 0 3 2 2 3 2 R1
92 41 1 133 51 1 1 1 1 1 13 3772 10145 6783 0 0 1 2 2 0 1 2 1 3 1 R1
92 43 1 135 49 1 0 3 3 3 15 3956 10313 6615 0 0 1 2 1 0 3 2 1 3 1 R1
92 47 1 139 45 1 1 3 1 7 19 4324 10673 6255 1 0 1 2 2 0 3 2 1 3 1 R1
92 49 1 141 43 1 0 1 3 9 21 4508 10865 6063 0 0 1 2 1 0 1 2 1 3 2 R1
92 51 1 143 41 1 2 3 5 11 23 4692 11065 5863 0 0 1 2 0 0 3 2 2 3 2 R1
92 61 1 153 31 1 0 1 3 9 9 5612 12185 4743 0 0 1 2 1 0 1 2 1 3 1 R1
92 71 1 163 21 1 1 3 1 7 19 6532 13505 3423 1 0 1 2 2 0 3 2 1 3 1 R1
92 77 1 169 15 1 1 1 1 1 1 7084 14393 2535 0 0 1 2 2 0 1 2 2 3 2 R1
92 79 1 171 13 1 0 3 3 3 3 7268 14705 2223 0 0 1 2 1 0 3 2 1 3 1 R1
92 81 1 173 11 1 2 1 5 5 5 7452 15025 1903 1 0 1 2 0 0 1 2 1 3 4 R1
92 83 1 175 9 1 1 3 1 7 7 7636 15353 1575 0 0 1 2 2 0 3 2 1 3 1 R1
92 85 1 177 7 1 0 1 3 9 9 7820 15689 1239 0 0 1 2 1 0 1 2 2 3 2 R1
92 89 1 181 3 1 1 1 1 1 13 8188 16385 543 1 0 1 2 2 0 1 2 1 3 1 R1
93 4 1 97 89 1 1 1 1 1 1 372 8665 8633 1 1 0 0 1 1 0 2 1 2 2 R1
93 8 1 101 85 1 2 1 5 5 5 744 8713 8585 1 1 0 0 2 1 0 2 1 2 3 R1
93 10 1 103 83 1 1 3 1 7 7 930 8749 8549 1 1 0 0 1 1 2 2 2 2 2 R1
93 16 1 109 77 1 1 1 1 1 13 1488 8905 8393 1 1 0 0 1 1 0 2 1 2 4 R1
93 22 1 115 71 1 1 3 1 7 19 2046 9133 8165 0 1 0 0 1 1 2 2 2 2 2 R1
93 28 1 121 65 1 1 1 1 1 1 2604 9433 7865 0 1 0 0 1 1 0 2 2 2 3 R1
93 32 1 125 61 1 2 1 5 5 5 2976 9673 7625 0 1 0 0 2 1 0 2 1 2 5 R1
93 46 1 139 47 1 1 3 1 7 19 4278 10765 6533 1 1 0 0 1 1 2 2 2 2 2 R1
93 52 1 145 41 1 1 1 1 1 1 4836 11353 5945 0 1 0 0 1 1 0 2 2 2 3 R1
93 56 1 149 37 1 2 1 5 5 5 5208 11785 5513 1 1 0 0 2 1 0 2 2 2 4 R1
93 68 1 161 25 1 2 1 5 5 17 6324 13273 4025 0 1 0 0 2 1 0 2 2 2 3 R1
93 74 1 167 19 1 2 3 5 11 23 6882 14125 3173 1 1 0 0 2 1 2 2 2 2 2 R1
93 82 1 175 11 1 1 3 1 7 7 7626 15373 1925 0 1 0 0 1 1 2 2 2 2 2 R1
93 86 1 179 7 1 2 3 5 11 11 7998 16045 1253 1 1 0 0 2 1 2 2 2 2 2 R1
93 88 1 181 5 1 1 1 1 1 13 8184 16393 905 1 1 0 0 1 1 0 2 2 2 4 R1
94 1 1 95 93 1 2 3 5 11 23 94 8837 8835 0 0 1 1 1 2 1 2 0 2 0 R1
94 5 1 99 89 1 0 3 3 3 3 470 8861 8811 0 0 1 1 2 2 1 2 1 2 1 R1
94 7 1 101 87 1 2 1 5 5 5 658 8885 8787 1 0 1 1 1 2 3 2 1 2 1 R1
94 11 1 105 83 1 0 1 3 9 9 1034 8957 8715 0 0 1 1 2 2 3 2 1 2 1 R1
94 17 1 111 77 1 0 3 3 3 15 1598 9125 8547 0 0 1 1 2 2 1 2 1 2 1 R1
94 19 1 113 75 1 2 1 5 5 17 1786 9197 8475 1 0 1 1 1 2 3 2 1 2 1 R1
94 21 1 115 73 1 1 3 1 7 19 1974 9277 8395 0 0 1 1 0 2 1 2 2 2 2 R1
94 25 1 119 69 1 2 3 5 11 23 2350 9461 8211 0 0 1 1 1 2 1 2 1 2 2 R1
94 29 1 123 65 1 0 3 3 3 3 2726 9677 7995 0 0 1 1 2 2 1 2 1 2 1 R1
94 33 1 127 61 1 1 3 1 7 7 3102 9925 7747 1 0 1 1 0 2 1 2 2 2 2 R1
94 37 1 131 57 1 2 3 5 11 11 3478 10205 7467 1 0 1 1 1 2 1 2 1 2 1 R1
94 41 1 135 53 1 0 3 3 3 15 3854 10517 7155 0 0 1 1 2 2 1 2 1 2 1 R1
94 51 1 145 43 1 1 1 1 1 1 4794 11437 6235 0 0 1 1 0 2 3 2 2 2 2 R1
94 65 1 159 29 1 0 3 3 3 15 6110 13061 4611 0 0 1 1 2 2 1 2 2 2 2 R1
94 69 1 163 25 1 1 3 1 7 19 6486 13597 4075 1 0 1 1 0 2 1 2 2 2 2 R1
94 71 1 165 23 1 0 1 3 9 21 6674 13877 3795 0 0 1 1 2 2 3 2 1 2 1 R1
94 85 1 179 9 1 2 3 5 11 11 7990 16061 1611 1 0 1 1 1 2 1 2 2 2 2 R1
94 91 1 185 3 1 2 1 5 5 17 8554 17117 555 0 0 1 1 1 2 3 2 2 2 2 R1
95 4 1 99 91 1 0 3 3 3 3 380 9041 9009 0 1 0 2 1 3 0 2 1 2 2 R1
95 8 1 103 87 1 1 3 1 7 7 760 9089 8961 1 1 0 2 2 3 0 2 1 2 3 R1
95 12 1 107 83 1 2 3 5 11 11 1140 9169 8881 1 1 0 2 0 3 0 2 2 2 3 R1
95 14 1 109 81 1 1 1 1 1 13 1330 9221 8829 1 1 0 2 2 3 2 2 2 2 2 R1
95 18 1 113 77 1 2 1 5 5 17 1710 9349 8701 1 1 0 2 0 3 2 2 2 2 3 R1
95 22 1 117 73 1 0 1 3 9 21 2090 9509 8541 0 1 0 2 1 3 2 2 2 2 2 R1
95 26 1 121 69 1 1 1 1 1 1 2470 9701 8349 0 1 0 2 2 3 2 2 2 2 2 R1
95 36 1 131 59 1 2 3 5 11 11 3420 10321 7729 1 1 0 2 0 3 0 2 2 2 4 R1
95 44 1 139 51 1 1 3 1 7 19 4180 10961 7089 1 1 0 2 2 3 0 2 2 2 3 R1
95 48 1 143 47 1 2 3 5 11 23 4560 11329 6721 0 1 0 2 0 3 0 2 2 2 5 R1
95 56 1 151 39 1 1 3 1 7 7 5320 12161 5889 1 1 0 2 2 3 0 2 2 2 4 R1
95 62 1 157 33 1 1 1 1 1 13 5890 12869 5181 1 1 0 2 2 3 2 2 2 2 2 R1
95 68 1 163 27 1 1 3 1 7 19 6460 13649 4401 1 1 0 2 2 3 0 2 2 2 3 R1
95 72 1 167 23 1 2 3 5 11 23 6840 14209 3841 1 1 0 2 0 3 0 2 2 2 5 R1
95 74 1 169 21 1 1 1 1 1 1 7030 14501 3549 0 1 0 2 2 3 2 2 2 2 2 R1
95 78 1 173 17 1 2 1 5 5 5 7410 15109 2941 1 1 0 2 0 3 2 2 3 2 3 R1
96 5 1 101 91 1 2 1 5 5 5 480 9241 9191 1 0 1 0 2 0 1 2 1 6 1 R1
96 7 1 103 89 1 1 3 1 7 7 672 9265 9167 1 0 1 0 1 0 3 2 1 6 1 R1
96 19 1 115 77 1 1 3 1 7 19 1824 9577 8855 0 0 1 0 1 0 3 2 1 6 1 R1
96 23 1 119 73 1 2 3 5 11 23 2208 9745 8687 0 0 1 0 2 0 3 2 1 6 1 R1
96 31 1 127 65 1 1 3 1 7 7 2976 10177 8255 1 0 1 0 1 0 3 2 1 6 1 R1
96 35 1 131 61 1 2 3 5 11 11 3360 10441 7991 1 0 1 0 2 0 3 2 2 6 2 R1
96 37 1 133 59 1 1 1 1 1 13 3552 10585 7847 0 0 1 0 1 0 1 2 1 6 1 R1
96 43 1 139 53 1 1 3 1 7 19 4128 11065 7367 1 0 1 0 1 0 3 2 1 6 1 R1
96 53 1 149 43 1 2 1 5 5 5 5088 12025 6407 1 0 1 0 2 0 1 2 1 6 1 R1
96 59 1 155 37 1 2 3 5 11 11 5664 12697 5735 0 0 1 0 2 0 3 2 1 6 1 R1
96 65 1 161 31 1 2 1 5 5 17 6240 13441 4991 0 0 1 0 2 0 1 2 2 6 2 R1
96 71 1 167 25 1 2 3 5 11 23 6816 14257 4175 1 0 1 0 2 0 3 2 1 6 1 R1
96 77 1 173 19 1 2 1 5 5 5 7392 15145 3287 1 0 1 0 2 0 1 2 2 6 2 R1
96 79 1 175 17 1 1 3 1 7 7 7584 15457 2975 0 0 1 0 1 0 3 2 1 6 1 R1
96 83 1 179 13 1 2 3 5 11 11 7968 16105 2327 1 0 1 0 2 0 3 2 1 6 1 R1
97 4 1 101 93 1 2 1 5 5 5 388 9425 9393 1 1 0 1 1 1 0 1 1 1 2 R1
97 6 1 103 91 1 1 3 1 7 7 582 9445 9373 1 1 0 1 0 1 2 1 2 1 2 R1
97 10 1 107 87 1 2 3 5 11 11 970 9509 9309 1 1 0 1 1 1 2 1 2 1 2 R1
97 20 1 117 77 1 0 1 3 9 21 1940 9809 9009 0 1 0 1 2 1 0 1 2 1 3 R1
97 26 1 123 71 1 0 3 3 3 3 2522 10085 8733 0 1 0 1 2 1 2 1 2 1 2 R1
97 34 1 131 63 1 2 3 5 11 11 3298 10565 8253 1 1 0 1 1 1 2 1 2 1 2 R1
97 42 1 139 55 1 1 3 1 7 19 4074 11173 7645 1 1 0 1 0 1 2 1 3 1 3 R1
97 44 1 141 53 1 0 1 3 9 21 4268 11345 7473 0 1 0 1 2 1 0 1 2 1 3 R1
97 46 1 143 51 1 2 3 5 11 23 4462 11525 7293 0 1 0 1 1 1 2 1 2 1 2 R1
97 58 1 155 39 1 2 3 5 11 11 5626 12773 6045 0 1 0 1 1 1 2 1 2 1 2 R1
97 66 1 163 31 1 1 3 1 7 19 6402 13765 5053 1 1 0 1 0 1 2 1 3 1 3 R1
97 72 1 169 25 1 1 1 1 1 1 6984 14593 4225 0 1 0 1 0 1 0 1 2 1 5 R1
97 76 1 173 21 1 2 1 5 5 5 7372 15185 3633 1 1 0 1 1 1 0 1 2 1 3 R1
97 80 1 177 17 1 0 1 3 9 9 7760 15809 3009 0 1 0 1 2 1 0 1 2 1 5 R1
97 86 1 183 11 1 0 3 3 3 15 8342 16805 2013 0 1 0 1 2 1 2 1 2 1 2 R1
98 1 1 99 97 1 0 3 3 3 3 98 9605 9603 0 0 1 2 1 2 1 2 0 3 0 R1
98 3 1 101 95 1 2 1 5 5 5 294 9613 9595 1 0 1 2 0 2 3 2 1 3 1 R1
98 9 1 107 89 1 2 3 5 11 11 882 9685 9523 1 0 1 2 0 2 1 2 1 3 2 R1
98 13 1 111 85 1 0 3 3 3 15 1274 9773 9435 0 0 1 2 1 2 1 2 1 3 1 R1
98 17 1 115 81 1 1 3 1 7 19 1666 9893 9315 0 0 1 2 2 2 1 2 1 3 1 R1
98 23 1 121 75 1 1 1 1 1 1 2254 10133 9075 0 0 1 2 2 2 3 2 1 3 1 R1
98 37 1 135 61 1 0 3 3 3 15 3626 10973 8235 0 0 1 2 1 2 1 2 1 3 1 R1
98 41 1 139 57 1 1 3 1 7 19 4018 11285 7923 1 0 1 2 2 2 1 2 1 3 1 R1
98 45 1 143 53 1 2 3 5 11 23 4410 11629 7579 0 0 1 2 0 2 1 2 2 3 3 R1
98 47 1 145 51 1 1 1 1 1 1 4606 11813 7395 0 0 1 2 2 2 3 2 1 3 1 R1
98 51 1 149 47 1 2 1 5 5 5 4998 12205 7003 1 0 1 2 0 2 3 2 2 3 2 R1
98 53 1 151 45 1 1 3 1 7 7 5194 12413 6795 1 0 1 2 2 2 1 2 1 3 1 R1
98 57 1 155 41 1 2 3 5 11 11 5586 12853 6355 0 0 1 2 0 2 1 2 2 3 2 R1
98 61 1 159 37 1 0 3 3 3 15 5978 13325 5883 0 0 1 2 1 2 1 2 1 3 1 R1
98 65 1 163 33 1 1 3 1 7 19 6370 13829 5379 1 0 1 2 2 2 1 2 2 3 2 R1
98 67 1 165 31 1 0 1 3 9 21 6566 14093 5115 0 0 1 2 1 2 3 2 1 3 1 R1
98 69 1 167 29 1 2 3 5 11 23 6762 14365 4843 1 0 1 2 0 2 1 2 2 3 2 R1
98 81 1 179 17 1 2 3 5 11 11 7938 16165 3043 1 0 1 2 0 2 1 2 1 3 4 R1
98 85 1 183 13 1 0 3 3 3 15 8330 16829 2379 0 0 1 2 1 2 1 2 2 3 2 R1
99 2 1 101 97 1 2 1 5 5 5 198 9805 9797 1 1 0 0 2 3 2 2 1 3 1 R1
99 10 1 109 89 1 1 1 1 1 13 990 9901 9701 1 1 0 0 1 3 2 2 2 3 2 R1
99 14 1 113 85 1 2 1 5 5 17 1386 9997 9605 1 1 0 0 2 3 2 2 2 3 2 R1
99 20 1 119 79 1 2 3 5 11 23 1980 10201 9401 0 1 0 0 2 3 0 2 2 3 3 R1
99 46 1 145 53 1 1 1 1 1 1 4554 11917 7685 0 1 0 0 1 3 2 2 2 3 2 R1
99 50 1 149 49 1 2 1 5 5 5 4950 12301 7301 1 1 0 0 2 3 2 2 2 3 3 R1
99 52 1 151 47 1 1 3 1 7 7 5148 12505 7097 1 1 0 0 1 3 0 2 2 3 3 R1
99 58 1 157 41 1 1 1 1 1 13 5742 13165 6437 1 1 0 0 1 3 2 2 2 3 2 R1
99 62 1 161 37 1 2 1 5 5 17 6138 13645 5957 0 1 0 0 2 3 2 2 2 3 2 R1
99 68 1 167 31 1 2 3 5 11 23 6732 14425 5177 1 1 0 0 2 3 0 2 2 3 3 R1
99 74 1 173 25 1 2 1 5 5 5 7326 15277 4325 1 1 0 0 2 3 2 2 2 3 2 R1
99 82 1 181 17 1 1 1 1 1 13 8118 16525 3077 1 1 0 0 1 3 2 2 2 3 2 R1
99 86 1 185 13 1 2 1 5 5 17 8514 17197 2405 0 1 0 0 2 3 2 2 2 3 2 R1
99 98 1 197 1 1 2 1 5 5 5 9702 19405 197 1 1 0 0 2 3 2 2 2 3 3 R1
100 1 1 101 99 1 2 1 5 5 5 100 10001 9999 1 0 1 1 1 0 1 2 0 4 0 R1
100 11 1 111 89 1 0 3 3 3 15 1100 10121 9879 0 0 1 1 2 0 3 2 1 4 1 R1
100 13 1 113 87 1 2 1 5 5 17 1300 10169 9831 1 0 1 1 1 0 1 2 1 4 1 R1
100 27 1 127 73 1 1 3 1 7 7 2700 10729 9271 1 0 1 1 0 0 3 2 1 4 3 R1
100 37 1 137 63 1 2 1 5 5 17 3700 11369 8631 1 0 1 1 1 0 1 2 1 4 1 R1
100 39 1 139 61 1 1 3 1 7 19 3900 11521 8479 1 0 1 1 0 0 3 2 2 4 2 R1
100 53 1 153 47 1 0 1 3 9 9 5300 12809 7191 0 0 1 1 2 0 1 2 1 4 1 R1
100 57 1 157 43 1 1 1 1 1 13 5700 13249 6751 1 0 1 1 0 0 1 2 2 4 2 R1
100 59 1 159 41 1 0 3 3 3 15 5900 13481 6519 0 0 1 1 2 0 3 2 1 4 1 R1
100 61 1 161 39 1 2 1 5 5 17 6100 13721 6279 0 0 1 1 1 0 1 2 1 4 1 R1
100 63 1 163 37 1 1 3 1 7 19 6300 13969 6031 1 0 1 1 0 0 3 2 2 4 3 R1
100 67 1 167 33 1 2 3 5 11 23 6700 14489 5511 1 0 1 1 1 0 3 2 1 4 1 R1
100 71 1 171 29 1 0 3 3 3 3 7100 15041 4959 0 0 1 1 2 0 3 2 1 4 1 R1
100 77 1 177 23 1 0 1 3 9 9 7700 15929 4071 0 0 1 1 2 0 1 2 2 4 2 R1
100 81 1 181 19 1 1 1 1 1 13 8100 16561 3439 1 0 1 1 0 0 1 2 1 4 4 R1
100 83 1 183 17 1 0 3 3 3 15 8300 16889 3111 0 0 1 1 2 0 3 2 1 4 1 R1
100 99 1 199 1 1 1 3 1 7 7 9900 19801 199 1 0 1 1 0 0 3 2 2 4 3 R1
6 5 1 11 1 1 2 3 5 11 11 30 61 11 1 0 1 0 2 2 1 2 1 2 1 R2
9 8 1 17 1 1 2 1 5 5 17 72 145 17 1 1 0 0 2 1 0 1 1 2 3 R2
13 2 1 15 11 1 0 3 3 3 15 26 173 165 0 1 0 1 2 1 2 1 1 1 1 R2
13 4 1 17 9 1 2 1 5 5 17 52 185 153 1 1 0 1 1 1 0 1 1 1 2 R2
14 13 1 27 1 1 0 3 3 3 3 182 365 27 0 0 1 2 1 2 1 2 1 2 1 R2
18 7 1 25 11 1 1 1 1 1 1 126 373 275 0 0 1 0 1 2 3 2 1 3 1 R2
19 16 1 35 3 1 2 3 5 11 11 304 617 105 0 1 0 1 1 3 0 1 1 1 4 R2
20 7 1 27 13 1 0 3 3 3 3 140 449 351 0 0 1 2 1 0 3 2 1 3 1 R2
22 1 1 23 21 1 2 3 5 11 23 22 485 483 1 0 1 1 1 2 1 2 0 2 0 R2
22 21 1 43 1 1 1 3 1 7 19 462 925 43 1 0 1 1 0 2 1 2 2 2 2 R2
23 14 1 37 9 1 1 1 1 1 13 322 725 333 1 1 0 2 2 3 2 1 2 1 2 R2
24 7 1 31 17 1 1 3 1 7 7 168 625 527 1 0 1 0 1 0 3 2 1 4 1 R2
24 13 1 37 11 1 1 1 1 1 13 312 745 407 1 0 1 0 1 0 1 2 1 4 1 R2
24 17 1 41 7 1 2 1 5 5 17 408 865 287 1 0 1 0 2 0 1 2 1 4 1 R2
25 4 1 29 21 1 2 1 5 5 5 100 641 609 1 1 0 1 1 1 0 1 1 2 2 R2
27 2 1 29 25 1 2 1 5 5 5 54 733 725 1 1 0 0 2 3 2 1 1 3 1 R2
