# m  n  q  N(E)  status  B  lambda_min  H(E)  squares  #gens_found
96 73 3887/14016 23748581896494 CLOSED 46 5.1942592841571484495942448253662223919 10818.218244041458417568472338243032550 0 2
96 89 1295/17088 200766869870070 CLOSED 52 4.2961271273721196353077255663837977821 11190.221943352613034895224413070037350 0 2
97 8 9345/1552 153954597550530 CLOSED 39 7.2128578836894716045291975361654813395 10680.845261289074407185006156947184106 0 2
97 24 8833/4656 26331934120338 CLOSED 45 5.2269517098980998780836676695187923634 10459.180343760611226538098794997321384 0 2
97 28 8625/5432 21028603308510 CLOSED 42 6.0016089394879082169599229640978888088 10417.626662439303314259166896765370246 0 2
97 30 8509/5820 477032756535195 CLOSED 41 6.5152251631942840124737742101942647188 10718.964392323707638617558728478237285 0 2
97 38 7965/7372 2119169412465 CLOSED 40 6.4123968424595360661618328145389485663 10124.454312002413596828890513551846396 0 2
97 40 7809/7760 825516799590 CLOSED 28 13.596693703444765437885602281457738759 10014.353300020649193567613423934634214 0 2
97 54 6493/10476 127704131528001 CLOSED 38 7.5880405184053828239991998911062951514 10753.547487685526970125657395416220786 0 2
97 64 5313/12416 129797880410814 CLOSED 33 10.234571401853569524233685760620060552 10891.092952979446170632871159771067662 0 2
97 68 4785/13192 2385013596774270 CLOSED 35 9.3249570957586447217088908533202613192 11230.690813410379039768407082150871691 0 2
97 70 4509/13580 279091898660505 CLOSED 33 10.706982559018443428621332096247912244 11039.338943829573738946191210198874965 0 2
97 92 945/17848 148825986592290 CLOSED 41 6.7614746194908113461508845126355796139 11195.097275305572730097115321376730553 0 2
97 96 193/18624 38956468281402 CLOSED 25 19.096873490420308257035682979403146654 11095.111674498190555029436366201107607 0 2
98 15 9379/2940 78115949366595 CLOSED 42 6.1492541794922430944089581898408506888 10615.904278123812739692009399293071541 0 2
98 33 8515/6468 60327211909965 CLOSED 45 5.3803867316973470587714890487191063302 10512.748113809732513382299046248244290 0 2
98 43 7755/8428 25422742351545 CLOSED 31 11.247476435849549508018976703001041572 10418.118345691376537711235392924884114 0 2
98 73 4275/14308 27152661111765 CLOSED 43 5.8727113022885677934852390423792161105 10848.108897570288530168346566850341062 0 2
98 97 195/19012 47853566046195 CLOSED 35 9.3294509744212652997612592570151926909 11132.177185844313980257488680429559985 0 2
