# m n lo up gens time_s logN
1006 287 0 2 0 0.49100000000000000000000000000000000000 22.852740248489011961049523112479491698
1383 878 0 0 0 0.24200000000000000000000000000000000000 24.503081611975228676395527349222227473
1391 478 0 0 0 0.046000000000000000000000000000000000000 23.812015953388604683068603296850800638
1006 299 1 1 1 0.21800000000000000000000000000000000000 22.354764970864839187794390876562848376
1006 301 1 1 0 0.22300000000000000000000000000000000000 22.827895343936037736099879009828187663
1393 1016 1 1 0 0.31900000000000000000000000000000000000 24.363531533592100072746570643955507780
1006 303 1 1 1 0.24700000000000000000000000000000000000 22.823746993415945356586916472075570804
1394 113 1 1 0 0.25700000000000000000000000000000000000 23.741575052475276472946190362420577876
1397 694 1 1 1 0.062000000000000000000000000000000000000 24.056694563399875629283381438618362986
1399 456 0 0 0 0.030000000000000000000000000000000000000 23.601532669929124974845344529221871382
1006 307 1 1 0 0.22000000000000000000000000000000000000 22.814960217730415364468951459836131755
1006 311 0 0 0 0.041000000000000000000000000000000000000 22.805487900962776789186059343735384919
1399 902 0 0 0 0.16200000000000000000000000000000000000 24.562566423888647748786484159856657753
1006 313 1 1 0 0.28100000000000000000000000000000000000 22.323360267717738728477379170866932647
1399 1054 0 0 0 0.19800000000000000000000000000000000000 24.697199308489038607808039415035110040
1006 327 1 1 1 0.22300000000000000000000000000000000000 22.759801851850359333977431230190499956
1403 886 1 1 0 0.26700000000000000000000000000000000000 24.546053470549058722829452521721961454
1406 167 0 0 0 0.21600000000000000000000000000000000000 22.871703270853494540808281522546184726
1006 335 1 1 0 0.32800000000000000000000000000000000000 21.409209517817483240279877612258508654
1006 337 0 0 0 0.050000000000000000000000000000000000000 22.723653930646132285229721056122871641
1006 341 1 1 0 0.37700000000000000000000000000000000000 22.707197875957566914438806755216006819
1411 1096 1 1 0 0.68800000000000000000000000000000000000 23.959078733164393957524974588855131195
1412 931 0 0 0 0.056000000000000000000000000000000000000 23.776030457324714273890304026795912724
1006 343 1 1 0 0.41300000000000000000000000000000000000 21.008291283913666422704847183026426893
1006 347 0 0 0 0.044000000000000000000000000000000000000 22.680018623124339591204934381227854212
1006 357 2 2 2 0.072000000000000000000000000000000000000 22.626775408974116465303033252384676769
1419 614 1 1 0 0.38400000000000000000000000000000000000 23.407025328034208939827664872146784627
1006 359 0 0 0 0.21400000000000000000000000000000000000 22.614712631983885240557020985862970471
1006 369 0 0 0 0.062000000000000000000000000000000000000 19.825245832463247357822366217401192819
1420 1259 0 0 0 0.23200000000000000000000000000000000000 24.686404722720326127362337500600612952
1421 992 1 1 1 0.062000000000000000000000000000000000000 22.952279772492121849810223376157320572
1006 379 1 1 0 0.30200000000000000000000000000000000000 22.456041845766411393283151248922231892
1426 9 2 2 1 0.33900000000000000000000000000000000000 22.254806830018031022040244039483685930
1006 389 1 1 0 0.21700000000000000000000000000000000000 21.857350707544209454033339100759505270
1006 391 0 0 0 0.12300000000000000000000000000000000000 22.304322034587550000007496902882480631
1426 733 1 1 0 0.23000000000000000000000000000000000000 23.744780464726604711819480375901784917
1426 1283 0 0 0 0.044000000000000000000000000000000000000 24.194197164232117001722680466930043262
1006 397 0 0 0 0.14000000000000000000000000000000000000 22.195923097052216805393751237123715219
1006 401 0 0 0 0.035000000000000000000000000000000000000 21.060573865998705502678912633476175870
1427 154 1 1 0 0.22700000000000000000000000000000000000 23.930973788231134469006881912964590074
1006 403 1 1 0 0.36100000000000000000000000000000000000 19.877744179880099513018043600370686138
1433 1246 1 1 0 0.25500000000000000000000000000000000000 24.747504574031305943267978769180243807
1006 413 1 1 1 0.084000000000000000000000000000000000000 21.487545293176516519151048110398220496
1434 997 1 1 0 0.27300000000000000000000000000000000000 24.728519758979494061539100298151805225
1006 417 0 2 0 0.24300000000000000000000000000000000000 20.402577222301282000113570050161043621
1006 437 0 0 0 0.051000000000000000000000000000000000000 22.251707706294780196711461968436252686
1006 443 0 0 0 0.17000000000000000000000000000000000000 21.892800697137432346289463495676585122
1436 217 1 1 0 0.40600000000000000000000000000000000000 24.061745083884178719799418277686455467
1006 447 1 1 0 0.18200000000000000000000000000000000000 22.435155528285124818829201004417462568
1438 793 1 1 0 0.16200000000000000000000000000000000000 23.564610313042046961517317972378737287
1441 356 0 0 0 0.055000000000000000000000000000000000000 24.138212205232359149305063910349621871
1006 457 1 1 0 0.28200000000000000000000000000000000000 22.090950455509362243697122115126427297
1442 473 0 0 0 0.15000000000000000000000000000000000000 24.000639578705912774732346174955673027
1006 463 1 1 0 0.21900000000000000000000000000000000000 22.633566502686453891614670843042307532
1006 467 0 0 0 0.046000000000000000000000000000000000000 21.827846321329827928823920889230431878
1442 571 1 1 0 0.24100000000000000000000000000000000000 23.417513468811811477214212695274230525
1006 469 1 1 0 0.22900000000000000000000000000000000000 21.992577081223851029295064610869542752
