# m n lo up gens time_s logN
333 64 0 0 0 0.031000000000000000000000000000000000000 17.356621044960644273143906710723664790
334 7 1 1 1 0.044000000000000000000000000000000000000 18.208956522822997336182612911081113382
334 11 2 2 2 0.040000000000000000000000000000000000000 18.403281554853974249791251486581816803
379 88 1 1 0 0.52600000000000000000000000000000000000 19.200975505678708949942275062586294260
379 94 2 2 2 0.089000000000000000000000000000000000000 17.422019535978587976401525235760526669
379 104 1 1 1 0.061000000000000000000000000000000000000 18.475892473123730543476774421782721248
334 61 2 2 2 0.32200000000000000000000000000000000000 19.039413543158194305239873983196731641
379 106 1 1 0 0.47400000000000000000000000000000000000 19.469174294414863185026804956070891520
334 79 1 1 0 0.49600000000000000000000000000000000000 19.062244818179607114580842360831945048
379 148 0 0 0 0.12100000000000000000000000000000000000 18.882502514417349305832732571813652596
334 103 0 0 0 0.11100000000000000000000000000000000000 18.976545862386667338839050824057329714
379 176 0 0 0 0.12600000000000000000000000000000000000 18.680786443164622165064898574668591426
334 121 2 2 2 0.039000000000000000000000000000000000000 17.706767724265799760054502726672965967
334 131 1 1 1 0.028000000000000000000000000000000000000 18.412806702232018880782405606184330398
334 139 1 1 1 0.032000000000000000000000000000000000000 17.388288103713686980801439102521702031
334 149 1 1 1 0.13000000000000000000000000000000000000 18.630843442204201753769881792696821453
334 191 1 1 1 0.055000000000000000000000000000000000000 18.707316471790547542862348819233395973
379 218 1 1 0 0.41800000000000000000000000000000000000 19.855754407818964707079323910991008360
379 236 2 2 2 0.047000000000000000000000000000000000000 19.979741186000528637486444666601831353
379 284 2 2 2 0.048000000000000000000000000000000000000 20.157273617873578411639007822606596813
334 197 0 2 0 0.49000000000000000000000000000000000000 18.136877343299538897205739479565134235
379 314 1 1 0 0.52300000000000000000000000000000000000 19.688421143421745808994786927256101130
337 8 1 1 0 0.41600000000000000000000000000000000000 17.992723704872055409444967984922251029
381 4 1 1 1 0.14900000000000000000000000000000000000 18.367169650030131176168217397425297181
337 62 2 2 2 0.043000000000000000000000000000000000000 18.372883442458377933964449068457986383
382 17 1 1 0 0.44700000000000000000000000000000000000 18.997811640343191502378944651660318708
337 92 0 2 0 0.58800000000000000000000000000000000000 18.224370344584492754878277304555861335
382 25 1 1 1 0.17200000000000000000000000000000000000 18.459221081998517996469466040436995871
382 47 1 1 1 0.15800000000000000000000000000000000000 19.397642230827559834200585430204750969
382 53 0 0 0 0.036000000000000000000000000000000000000 19.436128332699151293131273232596403771
382 73 0 0 0 0.050000000000000000000000000000000000000 19.513908237103600221291024218768887462
337 118 1 1 0 0.32700000000000000000000000000000000000 18.853696538442046980387783792826337587
