[0;31m  ***   Warning: new stack size = 800000000 (762.939 Mbytes).[0m
#### OQ1 control: generic rank-1 fibers ####
GEN_RESULT (28,11) q=663/616 logN=22.5377089958883929431382775794 logHj=77.5844311515446594698078725107 hhat=5.51434653774405188947925823104 R1=0.0710754265501148107443201831389 R2=0.244672008976158448412044276511 F3sq=0
GEN_RESULT (28,13) q=615/728 logN=23.5556779701188913634434519026 logHj=78.3978168792783227310475904177 hhat=8.99655386934322083172681852679 R1=0.114755158082994275092757606705 R2=0.381927188882257120935860806922 F3sq=0
GEN_RESULT (28,19) q=423/1064 logN=24.2998016025406924659098920664 logHj=83.2090936590187091697404953527 hhat=12.9105645993191825262272393032 R1=0.155158096688628656597102853438 R2=0.531303292532614926937366646683 F3sq=0
GEN_RESULT (29,2) q=837/116 logN=21.3401493640788811526676529629 logHj=80.7008347623004386894530731054 hhat=9.33240677241585942292777662017 R1=0.115642010394364749295815654814 R2=0.437316844095045077501013276426 F3sq=0
GEN_RESULT (29,4) q=825/232 logN=22.5147728693149630331066610885 logHj=80.3577567052422800261558786336 hhat=4.94018166863447436660726467017 R1=0.0614773466954210395468244678375 R2=0.219419564981149413650691966631 F3sq=0
GEN_RESULT (29,8) q=777/464 logN=23.5857593366588272034896065898 logHj=79.0833732594249823628565188978 hhat=13.6229484785958044819799974009 R1=0.172260589263271612738881132975 R2=0.577592109041066791627285153932 F3sq=0
GEN_RESULT (29,10) q=741/580 logN=23.8522830372234496039794997574 logHj=78.4833056466023720525824985284 hhat=6.95046083131446604873332689597 R1=0.0885597360362376515534289904842 R2=0.291396040390251122899541290003 F3sq=0
GEN_RESULT (29,20) q=441/1160 logN=22.6706484314217040823574935474 logHj=84.2781621844923749483529205493 hhat=19.8357826495000956627870993459 R1=0.235360882764360801219766895055 R2=0.874954358253270723927941192570 F3sq=0
GEN_RESULT (29,24) q=265/1392 logN=23.2329535076117771445576084551 logHj=86.7553025053668483727395347366 hhat=5.23487889493724114255550760935 R1=0.0603407370357956109505242490270 R2=0.225321283117195829171768551549 F3sq=0
GEN_RESULT (29,26) q=165/1508 logN=25.6632255588586529197857041191 logHj=87.7867771458697818458264396330 hhat=4.57322783344521882804590409861 R1=0.0520947229426838731883030394671 R2=0.178201599130885272198163168485 F3sq=0
GEN_RESULT (29,28) q=57/1624 logN=21.1198947364966114249656729388 logHj=88.7080768100147885767318327916 hhat=16.0833098947006804529213363237 R1=0.181306037432714794470075470376 R2=0.761524150350410101564345495701 F3sq=0
GEN_RESULT (30,7) q=851/420 logN=24.6140398400240993438198003203 logHj=80.3460102764502683180290245535 hhat=11.0697163279433913837506063740 R1=0.137775557116716830756976048891 R2=0.449731795344837352899478164875 F3sq=0
GEN_RESULT (30,11) q=779/660 logN=23.8147837197702260762219268802 logHj=79.2171003523454230316998228654 hhat=7.09648763042618213237817044839 R1=0.0895827744118643775886327829174 R2=0.297986650390400929254034718321 F3sq=0
GEN_RESULT (30,29) q=59/1740 logN=21.3614417756492444511192374075 logHj=89.5362374257049269934552132840 hhat=10.3825148159044180234449427246 R1=0.115958801870802150628539095137 R2=0.486039983861944134194588642078 F3sq=0
GEN_RESULT (31,4) q=945/248 logN=22.4121065680610549236858836227 logHj=82.0153886551120307188445370132 hhat=7.78547803002720973963243438721 R1=0.0949270393970380800992011165115 R2=0.347378235347234343383618881319 F3sq=0
GEN_RESULT (31,8) q=897/496 logN=24.1593666481902625599680350790 logHj=80.8728698448714135895081677826 hhat=3.76265355745494161696668096566 R1=0.0465255352588869683203936314903 R2=0.155743054536439830627191391455 F3sq=0
GEN_RESULT (31,12) q=817/744 logN=23.5749271302370273230570784388 logHj=80.0097048483912088415736672781 hhat=33.7800117711228805818030359930 R1=0.422198929931462064221998325831 R2=1.43287873529826894404105312785 F3sq=0
GEN_RESULT (31,20) q=561/1240 logN=26.0830116757365404513199806091 logHj=84.9413659287036379749789325586 hhat=6.22423335607120556508822344616 R1=0.0732768220527037014945207489732 R2=0.238631697652508284084107470590 F3sq=0
GEN_RESULT (31,22) q=477/1364 logN=25.2066958430464056621251499389 logHj=86.2774776067185336584267327070 hhat=11.2312111434721066954089945202 R1=0.130175469369511544724951868986 R2=0.445564591781686536197867003223 F3sq=0
GEN_RESULT (31,28) q=177/1736 logN=26.1574221051722633973033744412 logHj=89.4810444763974457430071504733 hhat=44.6494311730814317454430057759 R1=0.498982007131786237050844700720 R2=1.70695074589374894406957155127 F3sq=0
GEN_RESULT (32,3) q=1015/192 logN=22.5232527824785440211907235832 logHj=82.9663926747845107824655490477 hhat=7.18852235902898164150302945292 R1=0.0866437858423817803178752804806 R2=0.319160044441765991739179189912 F3sq=0
GEN_RESULT (32,7) q=975/448 logN=21.4397800348102201118949391565 logHj=82.0426932967690587015533925959 hhat=3.65479338944904529409914950593 R1=0.0445474574588713010247289157828 R2=0.170467858509509967797232284037 F3sq=0
GEN_RESULT (32,9) q=943/576 logN=19.9260849534565423181399425704 logHj=81.3894849512788560159389064171 hhat=8.56857623749685379045019263761 R1=0.105278663977615176414412348861 R2=0.430018052091586520905177491217 F3sq=0
GEN_RESULT (32,13) q=855/832 logN=19.4767870167652505628542684590 logHj=80.8585156183789441445920021071 hhat=2.15282952155452810913232159554 R1=0.0266246480669402146363494208147 R2=0.110533093559087189284701402735 F3sq=0
GEN_RESULT (32,17) q=735/1088 logN=21.5550277063856445659913567916 logHj=83.0497156459249662057330429201 hhat=9.94254341857964912429398513436 R1=0.119717970630613518547246155120 R2=0.461263309609858936891674726491 F3sq=0
GEN_RESULT (32,25) q=399/1600 logN=22.9828586664642927450723891128 logHj=88.3528358299796615525088102258 hhat=8.98835575307851179913821742832 R1=0.101732509982759439408597517121 R2=0.391089545627062325007899663074 F3sq=0
GEN_RESULT (32,27) q=295/1728 logN=19.5253837465075760614608148288 logHj=89.3705300442573151573108502050 hhat=3.99967621012821519435379951148 R1=0.0447538602282825165938308798563 R2=0.204844947584890391359815161610 F3sq=0
GEN_RESULT (32,29) q=183/1856 logN=24.3125176349491194246616575197 logHj=90.2851252042743359860377466188 hhat=16.2367133759669881602160046325 R1=0.179838188618896652080385116964 R2=0.667833484781797996304133588827 F3sq=0
GEN_RESULT (33,4) q=1073/264 logN=25.0618509788175588838163437981 logHj=83.5629091074233595714580715249 hhat=13.8830358704135068279758124282 R1=0.166138733305303264889613202191 R2=0.553950938506000213796412543313 F3sq=0
GEN_RESULT (33,8) q=1025/528 logN=23.0691985704101495192471998754 logHj=82.5388605156769556589885546590 hhat=4.92647761221657667463747824541 R1=0.0596867654997595938275559214099 R2=0.213552178554462386391829185698 F3sq=0
GEN_RESULT (33,16) q=833/1056 logN=21.9197528740995832410709097252 logHj=82.7430640240018853236975005252 hhat=10.5233621467852412947252641030 R1=0.127181199668079160386926854414 R2=0.480085802391488804452248193931 F3sq=0
GEN_RESULT (33,26) q=413/1716 logN=26.9207367539073743157387120751 logHj=89.2046702342005350215985587021 hhat=25.7521922360387620804091604107 R1=0.288686591951163630692033611327 R2=0.956593144959191898608937415347 F3sq=0
GEN_RESULT (33,32) q=65/2112 logN=23.6738756588178996239545843925 logHj=91.8618475037237970467841531048 hhat=2.47516286599953045480506562196 R1=0.0269444054660363210886139077157 R2=0.104552499205071942302829057831 F3sq=0
GEN_RESULT (34,3) q=1147/204 logN=25.0343973704473528135758398520 logHj=84.4455288666828444819360047375 hhat=6.90629689945635456355221904736 R1=0.0817840446041799413316951194673 R2=0.275872304703811702412683940046 F3sq=0
GEN_RESULT (34,5) q=1131/340 logN=25.4405044209755283012132017092 logHj=84.1129470678150332710241353280 hhat=16.9000792690116111611527557452 R1=0.200921259546240001080552015476 R2=0.664298120405097280074089359158 F3sq=0
GEN_RESULT (34,7) q=1107/476 logN=23.4056907709061721861756680427 logHj=83.6228537390736864991536444220 hhat=16.7800553514426035275205043270 R1=0.200663510047157604286806353776 R2=0.716922030444861282932979018243 F3sq=0
GEN_RESULT (34,11) q=1035/748 logN=24.2201878675087078983182051234 logHj=82.4448232815622782010626580581 hhat=4.07870620087851154955157402899 R1=0.0494719503121387805346614195585 R2=0.168401096770602707626756661012 F3sq=0
GEN_RESULT (34,15) q=931/1020 logN=22.4963463837354309607108632956 logHj=82.6815662681668705427952276413 hhat=8.19516934568536212785822122809 R1=0.0991172484457466588785897629271 R2=0.364288903002060998713201979936 F3sq=0
GEN_RESULT (34,21) q=715/1428 logN=26.6894617403615196860854012629 logHj=86.5441514252589636412747262832 hhat=4.54821752948138197267673777821 R1=0.0525537249436121843481671131047 R2=0.170412486161280467403486829433 F3sq=0
GEN_RESULT (34,27) q=427/1836 logN=24.9636918034851679174846953432 logHj=90.0265783807000071721724600791 hhat=16.0584431109676220306609742301 R1=0.178374468960271492471402869364 R2=0.643271966237209802907186688108 F3sq=0
GEN_RESULT (34,29) q=315/1972 logN=26.0022297356495575299599054156 logHj=90.9661054680103612868102404149 hhat=14.7973906177432777379759168520 R1=0.162669277107251877924713993980 R2=0.569081604469318657707460115800 F3sq=0
GEN_RESULT (34,31) q=195/2108 logN=24.8926858273107338955963105299 logHj=91.8163786268652377454194361514 hhat=13.9981114366133133103538168655 R1=0.152457673085763607722940006147 R2=0.562338332380969543889224184128 F3sq=0
GEN_RESULT (34,33) q=67/2244 logN=25.9655521964225905414463121324 logHj=92.5895100006337990291527744531 hhat=9.98359134259659765545175283043 R1=0.107826376255023462192037274936 R2=0.384493704084294000464093689332 F3sq=0
GEN_RESULT (35,2) q=1221/140 logN=24.8643903558907927089579418427 logHj=85.2499286936231235063959810772 hhat=5.15741335439093803837884281603 R1=0.0604975679560506606898545594576 R2=0.207421669325950715740498627124 F3sq=0
GEN_RESULT (35,4) q=1209/280 logN=25.4860128641619991647200750565 logHj=85.0143054901939896845751580250 hhat=19.1890506951858237180413498724 R1=0.225715549689448356743299737304 R2=0.752924782603760775224981716787 F3sq=0
GEN_RESULT (35,18) q=901/1260 logN=25.0191143527610261330253273804 logHj=84.8038719841015700355618970537 hhat=17.3087967039376740398620920741 R1=0.204103849257998559225722783418 R2=0.691822918265191624702976462945 F3sq=0
GEN_RESULT (35,24) q=649/1680 logN=26.5140190013228595960657132380 logHj=88.7112535848271627249915797008 hhat=7.07925671878153563022226110633 R1=0.0798011124035377730597845572608 R2=0.267000514649564497832772944184 F3sq=0
GEN_RESULT (35,26) q=549/1820 logN=26.2475660471406108672775167030 logHj=89.8200992319885334158301447474 hhat=4.56495749525106339929167482338 R1=0.0508233405917380602321662241215 R2=0.173919268821055743815516251906 F3sq=0
GEN_RESULT (35,32) q=201/2240 logN=24.9721779910758499851440071082 logHj=92.5467164615911752547917438019 hhat=20.9295802754261301935999832133 R1=0.226151516505854037046645551642 R2=0.838115933776605409286427508697 F3sq=0
GEN_RESULT (36,5) q=1271/360 logN=24.7602481527325816165600933939 logHj=85.5407496956464545159860899566 hhat=16.1450329529006295685030057231 R1=0.188740840013029736167845665087 R2=0.652054569619442091034411328873 F3sq=0
GEN_RESULT (36,7) q=1247/504 logN=24.9448039409670157724507004201 logHj=85.1010797801691439678842750871 hhat=8.36383388290587322803162951647 R1=0.0982811722778501455176746045800 R2=0.335293630797790868451616454102 F3sq=0
GEN_RESULT (36,11) q=1175/792 logN=23.1815400637402895665011765446 logHj=83.9735650922777315099538860283 hhat=6.64087039872201415245741971540 R1=0.0790828684172742511719155253785 R2=0.286472356041150985896391406132 F3sq=0
GEN_RESULT (36,17) q=1007/1224 logN=24.6298062539758254391735000687 logHj=84.5780806370105445123134053811 hhat=7.17344473704840335116856386882 R1=0.0848144659115067903924820663286 R2=0.291250554839035405975478607764 F3sq=0
GEN_RESULT (36,29) q=455/2088 logN=26.5186265765580641918910113166 logHj=91.5886867559603042988063272917 hhat=7.56704418552940355913971186173 R1=0.0826198568136687915923899687607 R2=0.285348268836008247883713699552 F3sq=0
GEN_RESULT (36,31) q=335/2232 logN=26.4383993563444222952604667465 logHj=92.4610434564582955372312809565 hhat=4.74834447097114421939650597177 R1=0.0513550820265967690885927341346 R2=0.179600300569318848276986873331 F3sq=0
GEN_RESULT (37,2) q=1365/148 logN=25.2558214270391676428764226142 logHj=86.5918591766448046339857093054 hhat=6.13455872178087911133684050337 R1=0.0708445202598845079725231341039 R2=0.242896820422286929223255226406 F3sq=0
