# m n cond status hhat cS w2 N0_rig
34 31 64677927405 OK 13.998111436613313310353816865495777245635768939322 16.087852253320730746518484364731149212733974801931 4 4
34 33 189101963589 OK 9.9835913425965976554517528304292561480700472840473 15.839141474112293618145138112219956825370788910424 4 4
35 2 62873484135 OK 5.1574133543909380383788428160303438646747990458293 15.065376060220513683193110471515253615426374919386 4 6
35 4 117067071030 OK 19.189050695185823718041349872422171243801005167219 15.263222970823959157830038192560020672103496239136 4 3
35 18 73394464395 OK 17.308796703937674039862092074078610348531114164376 15.552644775489083516093910222800596305704079089762 8 3
35 24 327259411710 OK 7.0792567187815356302222611063316529122805651616585 16.053101420883083255010647433877142008383890791988 8 5
35 26 250710831735 OK 4.5649574952510633992916748233814434042177810708377 16.154125322547346265226774549057212112791017925878 8 6
35 32 70029189930 OK 20.929580275426130193599983213323220573352282301381 16.199391263060025581117211175750538104808058345745 16 3
36 5 56655117330 OK 16.145032952900629568503005723087172638829069407357 15.419455392294041160004021186731595149380194857204 8 4
36 7 68138207382 OK 8.3638338829058732280316295164664343206408513691835 15.466477015895303528871434495033942987887553699035 8 5
36 11 11684629110 OK 6.6408703987220141524574197153950961968303130868755 15.412298565212461539539598920596774551547208501264 8 5
36 17 49726620678 OK 7.1734447370484033511685638688183873986554332827522 15.482650496473459955134589277572971534315345065666 8 5
36 29 328770763230 OK 7.5670441855294035591397118617300995866889690119368 16.338279228843420740885224705067848549188328149895 8 5
36 31 303424713690 OK 4.7483444709711442193965059717688261677522950748010 16.357691831744777734191734099382706860466723110688 8 6
37 2 92995917105 OK 6.1345587217808791113368405033719633760365471147535 15.270284459774243964810591929715148120642694813326 4 5
37 14 1956213273 OK 11.043801146550261798109802230768897566426788551149 15.371713841461649962412230540433250958441574240807 4 4
37 16 13432171494 OK 9.8925617615827522822856577961186403026878008380032 15.324953189038573868124040469388921833187158021203 12 4
38 1 8132951463 OK 19.939857821894309763488003338246563488177121761365 15.144478132927127658182657697739706654418591172359 4 3
38 3 164182277595 OK 6.4478892927108957482671412415229088219973616678796 15.492081818327109218439460817194352676205660562894 4 5
38 5 251972248605 OK 9.4056346220596757625549388136255231090160091425747 15.624534695045647837748275751267446248380488078556 4 4
38 7 102848296845 OK 4.8720533283641198569963282766398170675420252779556 15.678514384355992705919453764591059208461774748698 8 6
38 9 107983730883 OK 7.0244428850621920792846398537276262167198120785520 15.682434072233050392150827195723598347134835327339 8 5
38 15 64744606815 OK 9.1016787518850014170139395431694516512738582030241 15.392094232423437844703861825516343521479389892021 4 5
38 23 126712849935 OK 5.2431019238175583184366488425416003092273220150245 16.185791057370915968850320366513372303959795218679 4 6
38 29 497715769257 OK 25.700492781949832335370094148615222321298866302468 16.511035837212575773548394322116113849430427617886 8 3
39 10 55848140985 OK 8.8340999421694289750800923044435372492393441576558 15.777363973761186280877001145509477236436000499648 8 5
39 20 514554705210 OK 14.413070326118256245139937964153638462461640479704 15.979746404902433628733818635040723141633801803639 4 4
39 28 1700827302174 OK 11.416997429370705772266107434948421108210164756734 16.546899408912207781540749406688864064893528671951 4 4
39 38 500924342919 OK 7.1684468266473465046215332806299952934428507228744 16.349402171428306681174621111164989907959488111286 4 5
40 1 5825844570 OK 5.8934119497682441211538870713776052040316268801638 15.332778925918473408101185124299075545637043683998 8 6
40 3 118068794130 OK 9.6077792858674861046554253644249875613711974927621 15.682207779141178201654186406111815547698734613886 8 5
40 7 227128548570 OK 16.114189629459880792677330632249269488499564493986 15.878299640332190720710921050593199278716554157750 8 4
40 9 11646136110 OK 5.3479273705453323111104314312937799320276317535401 15.890425526364982453687043872198948488439506864954 8 6
40 17 4167000390 OK 16.089468295860891127398007311271443562833923528288 15.537759344835623748236504256285008057814527389467 8 4
40 19 182508429390 OK 13.237695619160816120920864615718812961288907863213 15.917661301964123242011978074389278215816966241671 8 4
40 21 360002773410 OK 26.952324238718883355684850088760844763999923887240 16.127858247936911044123614958615627778999903009074 8 3
40 23 183808079490 OK 6.4721027693117247997023077636419282938874239895422 16.300218838083468696632850047435863673721233108246 8 5
41 2 191518016781 OK 17.733553472336130640515298191555356090927149855793 15.648500719202145378295236824348793538113398583170 4 3
